subject_id_namespace	subject_id	collection_id_namespace	collection_id
cfde_id_namespace_id:BCDC	SW170928-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW171031-04A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW171201-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180122-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180301-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180413-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180413-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180628-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW180709-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW181029-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW181101-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW181115-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW181205-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW181212-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190110-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190110-04A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190312-05A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190409-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190422-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190422-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190422-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190503-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190503-04A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190507-09A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190509-07A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190509-08A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190509-09A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190509-10A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190614-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190620-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190625-01A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190626-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190830-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190916-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW190916-03A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191003-04A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191004-07A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191004-08A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191004-09A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191016-02A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW191024-09A	cfde_id_namespace_id:BCDC	dong_antero
cfde_id_namespace_id:BCDC	SW170711-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170711-03B	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170711-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170711-05A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170811-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170811-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170911-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170911-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW170928-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171016-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171016-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171116-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171116-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171116-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171116-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171117-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171117-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171117-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171117-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171205-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171205-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171221-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171221-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171221-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW171221-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180131-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180131-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180201-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180201-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180329-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180517-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180611-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180612-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180621-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180621-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180628-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180716-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180716-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180716-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180725-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180725-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180727-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180925-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180925-02A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180925-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180925-04A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180926-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180926-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW180927-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181026-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181030-03A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181031-01A	cfde_id_namespace_id:BCDC	dong_retro
cfde_id_namespace_id:BCDC	SW181105-01A	cfde_id_namespace_id:BCDC	dong_retro
